Unnamed: 0,b_w,b_b,monthly_cuml,monthly_h,months,seed,alpha,shift,D,P
4,0.09,0.03,823.0,12912.451008970264,4,980d62c61247,0.1,3,0.4,625
5,0.09,0.03,948.0,15558.712817920876,5,980d62c61247,0.1,3,0.4,625
6,0.09,0.03,1024.0,19709.00864482089,6,980d62c61247,0.1,3,0.4,625
7,0.09,0.03,1110.0,22217.90774340139,7,980d62c61247,0.1,3,0.4,625
8,0.09,0.03,1176.0,23536.4377210691,8,980d62c61247,0.1,3,0.4,625
9,0.09,0.03,1268.0,25079.3160846221,9,980d62c61247,0.1,3,0.4,625
10,0.09,0.03,1370.0,26593.876677247164,10,980d62c61247,0.1,3,0.4,625
11,0.09,0.03,1432.0,27689.01040733944,11,980d62c61247,0.1,3,0.4,625
12,0.09,0.03,1527.0,28762.01803065157,12,980d62c61247,0.1,3,0.4,625
13,0.09,0.03,1618.0,30608.844321029,13,980d62c61247,0.1,3,0.4,625
0,0.09,0.03,5.0,63.19946437665825,0,04bd4bb8b787,0.1,3,0.4,625
1,0.09,0.03,27.0,540.765644236,1,04bd4bb8b787,0.1,3,0.4,625
2,0.09,0.03,69.0,1790.0270646601612,2,04bd4bb8b787,0.1,3,0.4,625
3,0.09,0.03,197.0,4298.631041328516,3,04bd4bb8b787,0.1,3,0.4,625
4,0.09,0.03,443.0,7573.9064221894,4,04bd4bb8b787,0.1,3,0.4,625
5,0.09,0.03,646.0,10623.013228349697,5,04bd4bb8b787,0.1,3,0.4,625
6,0.09,0.03,795.0,13638.59074890354,6,04bd4bb8b787,0.1,3,0.4,625
7,0.09,0.03,915.0,18037.45612792528,7,04bd4bb8b787,0.1,3,0.4,625
8,0.09,0.03,1009.0,21356.305699588094,8,04bd4bb8b787,0.1,3,0.4,625
9,0.09,0.03,1125.0,23407.435381926454,9,04bd4bb8b787,0.1,3,0.4,625
10,0.09,0.03,1255.0,25276.811149671183,10,04bd4bb8b787,0.1,3,0.4,625
11,0.09,0.03,1334.0,26671.581922395624,11,04bd4bb8b787,0.1,3,0.4,625
12,0.09,0.03,1450.0,27926.489712345705,12,04bd4bb8b787,0.1,3,0.4,625
13,0.09,0.03,1562.0,29769.734745704725,13,04bd4bb8b787,0.1,3,0.4,625
0,0.09,0.03,19.0,448.18024308521376,0,013c5936f294,0.1,3,0.4,625
1,0.09,0.03,42.0,1520.2782171136946,1,013c5936f294,0.1,3,0.4,625
2,0.09,0.03,170.0,6079.49193657636,2,013c5936f294,0.1,3,0.4,625
3,0.09,0.03,462.0,16450.69209379997,3,013c5936f294,0.1,3,0.4,625
4,0.09,0.03,740.0,26370.21337294993,4,013c5936f294,0.1,3,0.4,625
5,0.09,0.03,896.0,31551.442203631806,5,013c5936f294,0.1,3,0.4,625
6,0.09,0.03,984.0,38479.30639889495,6,013c5936f294,0.1,3,0.4,625
7,0.09,0.03,1086.0,43846.43593857793,7,013c5936f294,0.1,3,0.4,625
8,0.09,0.03,1172.0,48018.90646123097,8,013c5936f294,0.1,3,0.4,625
9,0.09,0.03,1265.0,52172.53864098669,9,013c5936f294,0.1,3,0.4,625
10,0.09,0.03,1377.0,54809.17748524516,10,013c5936f294,0.1,3,0.4,625
11,0.09,0.03,1453.0,57653.48826268992,11,013c5936f294,0.1,3,0.4,625
12,0.09,0.03,1558.0,60260.175313715066,12,013c5936f294,0.1,3,0.4,625
13,0.09,0.03,1661.0,63066.64155980213,13,013c5936f294,0.1,3,0.4,625
0,0.09,0.03,1.0,6.437716104233439,0,27e17b83d7f6,0.1,3,0.4,625
1,0.09,0.03,1.0,6.438547851960679,1,27e17b83d7f6,0.1,3,0.4,625
2,0.09,0.03,1.0,6.438592304195945,2,27e17b83d7f6,0.1,3,0.4,625
3,0.09,0.03,1.0,6.438594944080868,3,27e17b83d7f6,0.1,3,0.4,625
4,0.09,0.03,1.0,6.4385950851468285,4,27e17b83d7f6,0.1,3,0.4,625
5,0.09,0.03,1.0,6.438595093524247,5,27e17b83d7f6,0.1,3,0.4,625
6,0.09,0.03,1.0,6.438595093974434,6,27e17b83d7f6,0.1,3,0.4,625
7,0.09,0.03,1.0,7.248296030892542,7,27e17b83d7f6,0.1,3,0.4,625
8,0.09,0.03,2.0,11.569058881700022,8,27e17b83d7f6,0.1,3,0.4,625
9,0.09,0.03,2.0,23.63588610718144,9,27e17b83d7f6,0.1,3,0.4,625
10,0.09,0.03,4.0,56.9740947021738,10,27e17b83d7f6,0.1,3,0.4,625
11,0.09,0.03,5.0,68.59766028880577,11,27e17b83d7f6,0.1,3,0.4,625
12,0.09,0.03,6.0,73.37320813187394,12,27e17b83d7f6,0.1,3,0.4,625
13,0.09,0.03,7.0,87.72003098827616,13,27e17b83d7f6,0.1,3,0.4,625
0,0.09,0.03,1.0,5.464021617060207,0,96c9b526851b,0.1,3,0.4,625
1,0.09,0.03,1.0,5.4647275642452025,1,96c9b526851b,0.1,3,0.4,625
2,0.09,0.03,1.0,5.464765293149442,2,96c9b526851b,0.1,3,0.4,625
3,0.09,0.03,1.0,5.464767533755902,3,96c9b526851b,0.1,3,0.4,625
4,0.09,0.03,1.0,5.464767653485857,4,96c9b526851b,0.1,3,0.4,625
5,0.09,0.03,1.0,5.464767660596204,5,96c9b526851b,0.1,3,0.4,625
6,0.09,0.03,1.0,5.4647676609783,6,96c9b526851b,0.1,3,0.4,625
7,0.09,0.03,1.0,5.464767660998718,7,96c9b526851b,0.1,3,0.4,625
8,0.09,0.03,1.0,5.90864697952204,8,96c9b526851b,0.1,3,0.4,625
9,0.09,0.03,2.0,7.756590816286897,9,96c9b526851b,0.1,3,0.4,625
10,0.09,0.03,2.0,8.701331505625976,10,96c9b526851b,0.1,3,0.4,625
11,0.09,0.03,2.0,8.777376901109543,11,96c9b526851b,0.1,3,0.4,625
12,0.09,0.03,2.0,8.781496834195876,12,96c9b526851b,0.1,3,0.4,625
13,0.09,0.03,2.0,8.781796630766085,13,96c9b526851b,0.1,3,0.4,625
0,0.09,0.03,15.0,586.8769671673163,0,7cd0b80510ba,0.1,3,0.4,625
1,0.09,0.03,61.0,2011.7051022618605,1,7cd0b80510ba,0.1,3,0.4,625
2,0.09,0.03,236.0,5002.421562175576,2,7cd0b80510ba,0.1,3,0.4,625
3,0.09,0.03,528.0,9071.379638775608,3,7cd0b80510ba,0.1,3,0.4,625
4,0.09,0.03,783.0,12655.496836371723,4,7cd0b80510ba,0.1,3,0.4,625
5,0.09,0.03,897.0,15288.822985144194,5,7cd0b80510ba,0.1,3,0.4,625
6,0.09,0.03,968.0,19410.634383025317,6,7cd0b80510ba,0.1,3,0.4,625
7,0.09,0.03,1056.0,21863.705815652276,7,7cd0b80510ba,0.1,3,0.4,625
8,0.09,0.03,1137.0,23216.775143773717,8,7cd0b80510ba,0.1,3,0.4,625
9,0.09,0.03,1234.0,24830.49766527784,9,7cd0b80510ba,0.1,3,0.4,625
10,0.09,0.03,1344.0,26430.0168311135,10,7cd0b80510ba,0.1,3,0.4,625
11,0.09,0.03,1408.0,27563.975491392976,11,7cd0b80510ba,0.1,3,0.4,625
12,0.09,0.03,1506.0,28656.60053746436,12,7cd0b80510ba,0.1,3,0.4,625
13,0.09,0.03,1599.0,30519.878500197352,13,7cd0b80510ba,0.1,3,0.4,625
0,0.09,0.03,6.0,203.90794083740363,0,8c8bf323b8b0,0.1,3,0.4,625
1,0.09,0.03,18.0,546.9481948702343,1,8c8bf323b8b0,0.1,3,0.4,625
2,0.09,0.03,64.0,2083.4657330589343,2,8c8bf323b8b0,0.1,3,0.4,625
3,0.09,0.03,239.0,5438.373882135844,3,8c8bf323b8b0,0.1,3,0.4,625
