Unnamed: 0,b_w,b_b,monthly_cuml,months,seed,alpha,shift,D
13,0.07,0.03,3.0,13,26d72e99775e,0.1,3,0.8
0,0.07,0.03,14.0,0,42bfe80fd854,0.1,3,0.8
1,0.07,0.03,39.0,1,42bfe80fd854,0.1,3,0.8
2,0.07,0.03,73.0,2,42bfe80fd854,0.1,3,0.8
3,0.07,0.03,222.0,3,42bfe80fd854,0.1,3,0.8
4,0.07,0.03,425.0,4,42bfe80fd854,0.1,3,0.8
5,0.07,0.03,682.0,5,42bfe80fd854,0.1,3,0.8
6,0.07,0.03,869.0,6,42bfe80fd854,0.1,3,0.8
7,0.07,0.03,980.0,7,42bfe80fd854,0.1,3,0.8
8,0.07,0.03,1025.0,8,42bfe80fd854,0.1,3,0.8
9,0.07,0.03,1165.0,9,42bfe80fd854,0.1,3,0.8
10,0.07,0.03,1236.0,10,42bfe80fd854,0.1,3,0.8
11,0.07,0.03,1259.0,11,42bfe80fd854,0.1,3,0.8
12,0.07,0.03,1350.0,12,42bfe80fd854,0.1,3,0.8
13,0.07,0.03,1426.0,13,42bfe80fd854,0.1,3,0.8
0,0.07,0.03,1.0,0,864a936a3532,0.1,3,0.8
1,0.07,0.03,2.0,1,864a936a3532,0.1,3,0.8
2,0.07,0.03,2.0,2,864a936a3532,0.1,3,0.8
3,0.07,0.03,2.0,3,864a936a3532,0.1,3,0.8
4,0.07,0.03,2.0,4,864a936a3532,0.1,3,0.8
5,0.07,0.03,2.0,5,864a936a3532,0.1,3,0.8
6,0.07,0.03,2.0,6,864a936a3532,0.1,3,0.8
7,0.07,0.03,3.0,7,864a936a3532,0.1,3,0.8
8,0.07,0.03,3.0,8,864a936a3532,0.1,3,0.8
9,0.07,0.03,3.0,9,864a936a3532,0.1,3,0.8
10,0.07,0.03,3.0,10,864a936a3532,0.1,3,0.8
